MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,5,166,1120,2314411,B5E45F9D,20240928T111000,977852143171930183381767,20241006T080040,20241006T170029,396,269,49,50,109,39
71072,5,211,1147,2049909,61E55215,20240930T104900,897044257632035578508780,20241006T080001,20241006T170105,397,268,72,42,109,30
71072,5,212,1147,2050513,61E55215,20240930T105400,048559515047926079089059,20241006T080001,20241006T170206,392,257,45,49,106,37
71072,5,213,1147,2050754,61E55215,20240930T105900,796034379222027507216657,20241006T080001,20241006T170257,391,252,47,47,103,34
71072,5,215,1147,2050563,61E55215,20240930T113400,260781062769075022060834,20241006T080001,20241006T170327,392,259,49,40,107,43
71072,5,219,1147,2049846,61E55215,20240930T115800,230478472066500796408859,20241006T080001,20241006T170142,397,248,46,45,101,44
71072,5,226,1147,2050757,61E55215,20240930T125900,109165085053555819418243,20241006T080001,20241006T170318,393,234,47,37,100,35
71072,5,229,1147,2044447,61E55215,20240930T143600,684923990111963650026538,20241006T080001,20241006T170436,395,258,48,46,106,44
71072,5,231,1155,2314133,536BC1E3,20240928T151300,856640353826463678932987,20241006T080001,20241006T170203,352,230,36,49,98,29
71072,5,233,1155,2050737,536BC1E3,20240929T094300,614216337902953604184879,20241006T080001,20241006T170514,331,217,35,46,91,27
71072,5,234,1155,2050570,536BC1E3,20240929T095600,765731596117401035735422,20241006T080001,20241006T170414,323,182,24,46,80,20
71072,5,235,1155,2050346,536BC1E3,20240929T100100,452600393786375142324241,20241006T080439,20241006T170616,330,232,32,49,98,35
71072,5,237,1155,2304883,536BC1E3,20240929T101300,533408699994685306096376,20241006T080001,20241006T170500,324,198,22,41,83,31
71072,5,239,1155,2253373,536BC1E3,20240929T102200,533408919294700587648763,20241006T080001,20241006T170502,334,226,29,52,101,30
71072,5,240,1155,2315414,536BC1E3,20240929T102800,886943345829479470511329,20241006T080001,20241006T170529,330,212,29,52,87,27
71072,5,275,1155,2302206,536BC1E3,20240929T105700,715226939612500774272791,20241006T080001,20241006T170456,296,211,37,38,88,33
71072,5,299,1112,2050614,8A62B12C,20240929T094000,482903281026618439852636,20241006T080001,20241006T170601,358,254,49,35,108,47
71072,5,36,1040,2315452,2D5A26D7,20240927T162500,897044768539758915391439,20241006T080001,20241006T170154,349,216,45,36,90,37
71072,5,5,1015,2255285,2D5A26D7,20240927T102900,280983830778764945033535,20241006T080135,20241006T170027,399,243,31,47,107,43
71072,5,53,1040,2314795,2D5A26D7,20240928T110700,715226395021076591070987,20241006T080001,20241006T170308,350,209,39,40,87,29
71072,5,56,1058,1669994,B678BC3D,20240925T172400,482903494493209360400997,20241006T080001,20241006T170218,392,247,46,45,101,38
71072,5,6,1015,2314760,2D5A26D7,20240927T103300,957650619645105621214484,20241006T080451,20241006T170035,398,270,38,60,113,46
71072,5,69,1066,1837142,B678BC3D,20240926T113000,119266524156071145265836,20241006T080001,20241006T170032,392,256,46,44,108,39
71072,5,71,1074,1831897,B678BC3D,20240926T142400,482903087393960888393101,20241006T080001,20241006T170224,388,263,39,55,109,46
71072,5,72,1074,1831002,B678BC3D,20240926T143600,785933490323497717795545,20241006T080001,20241006T170254,385,262,41,51,105,43
71072,5,73,1074,1836098,B678BC3D,20240926T144600,604115428305408417228227,20241006T080001,20241006T170222,385,274,39,69,112,43
71072,5,74,1074,1836189,B678BC3D,20240926T145900,624317559007729895892957,20241006T080001,20241006T170212,384,256,35,47,113,44
71072,5,75,1074,1804186,B678BC3D,20240926T150900,109165146055866152710592,20241006T080001,20241006T170310,389,265,36,59,116,40
71072,5,78,1074,1821544,B678BC3D,20240926T155000,361791734781942589084860,20241006T080001,20241006T170332,385,264,50,56,115,29
71072,5,81,1074,1834107,B678BC3D,20240926T162800,179872842162153026646080,20241006T080001,20241006T170133,385,241,33,54,97,39
71072,6,310,1058,2050573,E77B8554,20240925T142800,654631997750322167101921,20241006T080001,20241006T171049,349,211,58,32,87,21
